Mod:Item:MetaData, Localized Name
minecraft:stone:0, Stone
minecraft:stone:1, Granite
minecraft:stone:2, Polished Granite
minecraft:stone:3, Diorite
minecraft:stone:4, Polished Diorite
minecraft:stone:5, Andesite
minecraft:stone:6, Polished Andesite
minecraft:grass, Grass Block
minecraft:dirt:0, Dirt
minecraft:dirt:1, Coarse Dirt
minecraft:dirt:2, Podzol
minecraft:cobblestone, Cobblestone
minecraft:planks:0, Oak Wood Planks
minecraft:planks:1, Spruce Wood Planks
minecraft:planks:2, Birch Wood Planks
minecraft:planks:3, Jungle Wood Planks
minecraft:planks:4, Acacia Wood Planks
minecraft:planks:5, Dark Oak Wood Planks
minecraft:sapling:0, Oak Sapling
minecraft:sapling:1, Spruce Sapling
minecraft:sapling:2, Birch Sapling
minecraft:sapling:3, Jungle Sapling
minecraft:sapling:4, Acacia Sapling
minecraft:sapling:5, Dark Oak Sapling
minecraft:bedrock, Bedrock
minecraft:sand:0, Sand
minecraft:sand:1, Red Sand
minecraft:gravel, Gravel
minecraft:gold_ore, Gold Ore
minecraft:iron_ore, Iron Ore
minecraft:coal_ore, Coal Ore
minecraft:log:0, Oak Wood
minecraft:log:1, Spruce Wood
minecraft:log:2, Birch Wood
minecraft:log:3, Jungle Wood
minecraft:leaves:0, Oak Leaves
minecraft:leaves:1, Spruce Leaves
minecraft:leaves:2, Birch Leaves
minecraft:leaves:3, Jungle Leaves
minecraft:sponge:0, Sponge
minecraft:sponge:1, Wet Sponge
minecraft:glass, Glass
minecraft:lapis_ore, Lapis Lazuli Ore
minecraft:lapis_block, Lapis Lazuli Block
minecraft:dispenser, Dispenser
minecraft:sandstone:0, Sandstone
minecraft:sandstone:1, Chiseled Sandstone
minecraft:sandstone:2, Smooth Sandstone
minecraft:noteblock, Note Block
minecraft:golden_rail, Powered Rail
minecraft:detector_rail, Detector Rail
minecraft:sticky_piston, Sticky Piston
minecraft:web, Cobweb
minecraft:tallgrass:1, Grass
minecraft:tallgrass:2, Fern
minecraft:deadbush, Dead Bush
minecraft:piston, Piston
minecraft:wool:0, Wool
minecraft:wool:1, Orange Wool
minecraft:wool:2, Magenta Wool
minecraft:wool:3, Light Blue Wool
minecraft:wool:4, Yellow Wool
minecraft:wool:5, Lime Wool
minecraft:wool:6, Pink Wool
minecraft:wool:7, Gray Wool
minecraft:wool:8, Light Gray Wool
minecraft:wool:9, Cyan Wool
minecraft:wool:10, Purple Wool
minecraft:wool:11, Blue Wool
minecraft:wool:12, Brown Wool
minecraft:wool:13, Green Wool
minecraft:wool:14, Red Wool
minecraft:wool:15, Black Wool
minecraft:yellow_flower:0, Dandelion
minecraft:red_flower:0, Poppy
minecraft:red_flower:1, Blue Orchid
minecraft:red_flower:2, Allium
minecraft:red_flower:3, Azure Bluet
minecraft:red_flower:4, Red Tulip
minecraft:red_flower:5, Orange Tulip
minecraft:red_flower:6, White Tulip
minecraft:red_flower:7, Pink Tulip
minecraft:red_flower:8, Oxeye Daisy
minecraft:brown_mushroom, Mushroom
minecraft:red_mushroom, Mushroom
minecraft:gold_block, Block of Gold
minecraft:iron_block, Block of Iron
minecraft:stone_slab:0, Stone Slab
minecraft:stone_slab:1, Sandstone Slab
minecraft:stone_slab:3, Cobblestone Slab
minecraft:stone_slab:4, Bricks Slab
minecraft:stone_slab:5, Stone Bricks Slab
minecraft:stone_slab:6, Nether Brick Slab
minecraft:stone_slab:7, Quartz Slab
minecraft:brick_block, Bricks
minecraft:tnt, TNT
minecraft:bookshelf, Bookshelf
minecraft:mossy_cobblestone, Moss Stone
minecraft:obsidian, Obsidian
minecraft:torch, Torch
minecraft:mob_spawner, Monster Spawner
minecraft:oak_stairs, Oak Wood Stairs
minecraft:chest, Chest
minecraft:diamond_ore, Diamond Ore
minecraft:diamond_block, Block of Diamond
minecraft:crafting_table, Crafting Table
minecraft:farmland, Farmland
minecraft:furnace, Furnace
minecraft:ladder, Ladder
minecraft:rail, Rail
minecraft:stone_stairs, Cobblestone Stairs
minecraft:lever, Lever
minecraft:stone_pressure_plate, Stone Pressure Plate
minecraft:wooden_pressure_plate, Wooden Pressure Plate
minecraft:redstone_ore, Redstone Ore
minecraft:redstone_torch, Redstone Torch
minecraft:stone_button, Button
minecraft:snow_layer:0, Snow
minecraft:ice, Ice
minecraft:snow, Snow
minecraft:cactus, Cactus
minecraft:clay, Clay
minecraft:jukebox, Jukebox
minecraft:fence, Oak Fence
minecraft:pumpkin, Pumpkin
minecraft:netherrack, Netherrack
minecraft:soul_sand, Soul Sand
minecraft:glowstone, Glowstone
minecraft:lit_pumpkin, Jack o'Lantern
minecraft:stained_glass:0, White Stained Glass
minecraft:stained_glass:1, Orange Stained Glass
minecraft:stained_glass:2, Magenta Stained Glass
minecraft:stained_glass:3, Light Blue Stained Glass
minecraft:stained_glass:4, Yellow Stained Glass
minecraft:stained_glass:5, Lime Stained Glass
minecraft:stained_glass:6, Pink Stained Glass
minecraft:stained_glass:7, Gray Stained Glass
minecraft:stained_glass:8, Light Gray Stained Glass
minecraft:stained_glass:9, Cyan Stained Glass
minecraft:stained_glass:10, Purple Stained Glass
minecraft:stained_glass:11, Blue Stained Glass
minecraft:stained_glass:12, Brown Stained Glass
minecraft:stained_glass:13, Green Stained Glass
minecraft:stained_glass:14, Red Stained Glass
minecraft:stained_glass:15, Black Stained Glass
minecraft:trapdoor, Wooden Trapdoor
minecraft:monster_egg:0, Stone Monster Egg
minecraft:monster_egg:1, Cobblestone Monster Egg
minecraft:monster_egg:2, Stone Brick Monster Egg
minecraft:monster_egg:3, Mossy Stone Brick Monster Egg
minecraft:monster_egg:4, Cracked Stone Brick Monster Egg
minecraft:monster_egg:5, Chiseled Stone Brick Monster Egg
minecraft:stonebrick:0, Stone Bricks
minecraft:stonebrick:1, Mossy Stone Bricks
minecraft:stonebrick:2, Cracked Stone Bricks
minecraft:stonebrick:3, Chiseled Stone Bricks
minecraft:brown_mushroom_block, Mushroom
minecraft:red_mushroom_block, Mushroom
minecraft:iron_bars, Iron Bars
minecraft:glass_pane, Glass Pane
minecraft:melon_block, Melon
minecraft:vine, Vines
minecraft:fence_gate, Oak Fence Gate
minecraft:brick_stairs, Brick Stairs
minecraft:stone_brick_stairs, Stone Brick Stairs
minecraft:mycelium, Mycelium
